肥羊代理,#genre#
cctv1-高码,http://138.2.110.209:35455/gaoma/cctv1.m3u8
CCTV-1,http://138.2.110.209:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1-50-FPS,http://138.2.110.209:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1-HEVC,http://138.2.110.209:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv2-高码,http://138.2.110.209:35455/gaoma/cctv2.m3u8
CCTV-2,http://138.2.110.209:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2-50-FPS,http://138.2.110.209:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2-HEVC,http://138.2.110.209:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3-高码,http://138.2.110.209:35455/gaoma/cctv3.m3u8
cctv3-4K,http://138.2.110.209:35455/rptv/G_CCTV-3-AVS-4K264.m3u8?license=gitv
CCTV-3,http://138.2.110.209:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3-HEVC,http://138.2.110.209:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv4-高码,http://138.2.110.209:35455/gaoma/cctv4.m3u8
CCTV-4-50-FPS,http://138.2.110.209:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4-HEVC,http://138.2.110.209:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5-高码,http://138.2.110.209:35455/gaoma/cctv5.m3u8
CCTV-5,http://138.2.110.209:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5-HEVC,http://138.2.110.209:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv5p-高码,http://138.2.110.209:35455/gaoma/cctv5p.m3u8
CCTV-5+,http://138.2.110.209:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+-HEVC,http://138.2.110.209:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
cctv6-高码,http://138.2.110.209:35455/rptv/G_CCTV-6-AVS-4K264.m3u8?license=gitv
CCTV-6,http://138.2.110.209:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6-50-FPS,http://138.2.110.209:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6-HEVC,http://138.2.110.209:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
cctv7-高码,http://138.2.110.209:35455/gaoma/cctv7.m3u8
